Mar  5 12:58:34 ci010 kernel: 531155 | 0 48092 | 0 0 0 | 0 0
Mar  5 12:58:34 ci010 kernel: 387669 | 0 48138 | 0 0 0 | 0 0
Mar  5 12:58:35 ci010 kernel: 247174 | 0 48138 | 0 0 0 | 0 0
Mar  5 12:58:35 ci010 kernel: 870475 | 0 48091 | 0 0 0 | 0 0
Mar  5 12:58:36 ci010 kernel: 144366 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:58:36 ci010 kernel: 48072 | 0 48072 | 0 0 0 | 0 0
Mar  5 12:58:37 ci010 kernel: 48450 | 0 48296 | 36 114 4 | 0 0
Mar  5 12:58:37 ci010 kernel: 48296 | 0 48296 | 0 0 0 | 0 0
Mar  5 12:58:38 ci010 kernel: 48297 | 0 48297 | 0 0 0 | 0 0
Mar  5 12:58:38 ci010 kernel: 532147 | 0 48296 | 0 0 0 | 0 0
Mar  5 12:58:39 ci010 kernel: 48297 | 0 48297 | 0 0 0 | 0 0
Mar  5 12:58:40 ci010 kernel: 96455 | 0 48364 | 0 0 0 | 0 0
Mar  5 12:58:40 ci010 kernel: 385871 | 0 48313 | 0 0 0 | 0 0
Mar  5 12:58:41 ci010 kernel: 48315 | 0 48314 | 0 0 0 | 0 0
Mar  5 12:58:41 ci010 kernel: 48313 | 0 48313 | 0 0 0 | 0 0
Mar  5 12:58:42 ci010 kernel: 48314 | 0 48314 | 0 0 0 | 0 0
Mar  5 12:58:42 ci010 kernel: 48316 | 0 48314 | 0 0 0 | 0 0
Mar  5 12:58:43 ci010 kernel: 48314 | 0 48314 | 0 0 0 | 0 0
Mar  5 12:58:43 ci010 kernel: 48314 | 0 48314 | 0 0 0 | 0 0
Mar  5 12:58:44 ci010 kernel: 968806 | 0 858 | 16 89 4 | 0 0
Mar  5 12:58:44 ci010 kernel: 96507 | 0 48370 | 0 0 0 | 0 0
Mar  5 12:58:45 ci010 kernel: 530859 | 0 48370 | 0 0 0 | 0 0
Mar  5 12:58:45 ci010 kernel: 387386 | 0 48300 | 0 0 0 | 0 0
Mar  5 12:58:46 ci010 kernel: 289809 | 0 48303 | 0 0 0 | 0 0
Mar  5 12:58:46 ci010 kernel: 870237 | 0 48302 | 0 0 0 | 0 0
Mar  5 12:58:47 ci010 kernel: 145057 | 0 48303 | 0 0 0 | 0 0
Mar  5 12:58:48 ci010 kernel: 48434 | 44 48170 | 0 0 0 | 0 0
Mar  5 12:58:48 ci010 kernel: 48323 | 0 48259 | 0 44 0 | 0 0
Mar  5 12:58:49 ci010 kernel: 48259 | 0 48259 | 0 0 0 | 0 0
Mar  5 12:58:49 ci010 kernel: 48323 | 0 48323 | 0 0 0 | 0 0
Mar  5 12:58:50 ci010 kernel: 534371 | 0 48323 | 0 0 0 | 0 0
Mar  5 12:58:50 ci010 kernel: 48274 | 0 48274 | 0 0 0 | 0 0
Mar  5 12:58:51 ci010 kernel: 94655 | 0 48274 | 0 0 0 | 0 0
Mar  5 12:58:51 ci010 kernel: 386582 | 2 48268 | 0 0 0 | 0 0
Mar  5 12:58:52 ci010 kernel: 48274 | 0 48271 | 0 2 0 | 0 0
Mar  5 12:58:52 ci010 kernel: 48272 | 0 48272 | 0 0 0 | 0 0
Mar  5 12:58:53 ci010 kernel: 48271 | 0 48271 | 0 0 0 | 0 0
Mar  5 12:58:53 ci010 kernel: 48274 | 0 48272 | 0 0 0 | 0 0
