Mar  5 12:54:31 ci010 kernel: 47701 | 0 47701 | 0 0 0 | 0 0
Mar  5 12:54:32 ci010 kernel: 47719 | 0 47700 | 0 0 0 | 0 0
Mar  5 12:54:32 ci010 kernel: 47826 | 0 47826 | 0 0 0 | 0 0
Mar  5 12:54:33 ci010 kernel: 95538 | 0 47826 | 0 0 0 | 0 0
Mar  5 12:54:33 ci010 kernel: 47703 | 0 47703 | 0 0 0 | 0 0
Mar  5 12:54:34 ci010 kernel: 232842 | 0 47648 | 0 0 0 | 0 0
Mar  5 12:54:34 ci010 kernel: 639340 | 0 47527 | 0 120 0 | 0 0
Mar  5 12:54:35 ci010 kernel: 375841 | 0 47501 | 0 0 0 | 0 0
Mar  5 12:54:36 ci010 kernel: 858717 | 0 47504 | 0 0 0 | 0 0
Mar  5 12:54:36 ci010 kernel: 968146 | 0 1005 | 0 0 0 | 0 0
Mar  5 12:54:37 ci010 kernel: 142698 | 0 47504 | 0 0 0 | 0 0
Mar  5 12:54:37 ci010 kernel: 47567 | 0 47566 | 0 0 0 | 0 0
Mar  5 12:54:38 ci010 kernel: 620165 | 0 47566 | 0 0 0 | 0 0
Mar  5 12:54:38 ci010 kernel: 47522 | 0 47522 | 0 0 0 | 0 0
Mar  5 12:54:39 ci010 kernel: 47521 | 0 47521 | 0 0 0 | 0 0
Mar  5 12:54:39 ci010 kernel: 286297 | 0 47522 | 0 0 0 | 0 0
Mar  5 12:54:40 ci010 kernel: 47521 | 0 47521 | 0 0 0 | 0 0
Mar  5 12:54:40 ci010 kernel: 47522 | 0 47522 | 0 0 0 | 0 0
Mar  5 12:54:41 ci010 kernel: 47521 | 0 47521 | 0 0 0 | 0 0
Mar  5 12:54:42 ci010 kernel: 47519 | 0 47519 | 0 0 0 | 0 0
Mar  5 12:54:42 ci010 kernel: 47573 | 0 47573 | 0 0 0 | 0 0
Mar  5 12:54:43 ci010 kernel: 47573 | 0 47573 | 0 0 0 | 0 0
Mar  5 12:54:43 ci010 kernel: 47541 | 0 47522 | 0 0 0 | 0 0
Mar  5 12:54:44 ci010 kernel: 47523 | 0 47523 | 0 0 0 | 0 0
Mar  5 12:54:44 ci010 kernel: 95047 | 1 47519 | 0 0 0 | 0 0
Mar  5 12:54:45 ci010 kernel: 47502 | 0 47501 | 1 0 0 | 0 0
Mar  5 12:54:45 ci010 kernel: 238467 | 82 47258 | 0 0 0 | 0 0
Mar  5 12:54:46 ci010 kernel: 618056 | 0 47421 | 0 82 0 | 0 0
Mar  5 12:54:46 ci010 kernel: 1 | 0 0 | 0 0 0 | 0 0
